column,dtype,unique_values,example_values
CLIENTNUM,int64,10127,[768805383 818770008 713982108 769911858 709106358]
Customer_Age,int64,45,[45 49 51 40 44]
Gender,object,2,['M' 'F']
Dependent_count,int64,6,[3 5 4 2 0]
Education_Level,object,6,['High School' 'Graduate' 'Uneducated' 'College' 'Post-Graduate']
Marital_Status,object,3,['Married' 'Single' 'Divorced']
Income_Category,object,5,['$60K - $80K' 'Less than $40K' '$80K - $120K' '$40K - $60K' '$120K +']
Card_Category,object,4,['Blue' 'Gold' 'Silver' 'Platinum']
Months_on_book,int64,44,[39 44 36 34 21]
Total_Relationship_Count,int64,6,[5 6 4 3 2]
Months_Inactive_12_mon,int64,7,[1 4 2 3 6]
Contacts_Count_12_mon,int64,7,[3 2 0 1 4]
Credit_Limit,float64,6205,[12691.  8256.  3418.  3313.  4716.]
Total_Revolving_Bal,int64,1974,[ 777  864    0 2517 1247]
Avg_Open_To_Buy,float64,6813,[11914.  7392.  3418.   796.  4716.]
Total_Amt_Chng_Q4_Q1,float64,1158,[1.335 1.541 2.594 1.405 2.175]
Total_Trans_Amt,int64,5033,[1144 1291 1887 1171  816]
Total_Trans_Ct,int64,126,[42 33 20 28 24]
Total_Ct_Chng_Q4_Q1,float64,830,[1.625 3.714 2.333 2.5   0.846]
Avg_Utilization_Ratio,float64,964,[0.061 0.105 0.    0.76  0.311]
Churn,int64,2,[0 1]
